LncRNA_ID	LncRNA_Name	ICLIP_EZH2_Raw_TagCount	ICLIP_EZH2_Norm_TagCount	Chrom	Strand	Start	End	Source	Length
AK129753		885	946.06591	chr11	-	86620031	86622038	predicted	2007
AY952890		885	946.06591	chrX	+	140993950	140996892	NRED	3581
uc003zrh.1	AX747113	885	946.06591	chr9	+	32633451	32648683	UCSC_kg	2582
AK127532		885	946.06591	chr20	+	46693220	46696409	predicted	3189
uc003yaj.1	AK096399	885	946.06591	chr8	+	75512100	75670587	UCSC_kg	2125
ENST00000402742	RP11-30P6.1	885	946.06591	chr6	+	85995793	86000567	Ensembl	1590
ENST00000508827	AL355916.1	884	944.9969	chr14	-	62023037	62037371	Ensembl	5103
BC039099		884	944.9969	chr8	-	86088033	86089291	predicted	1264
AF119844		884	944.9969	chr8	+	99483605	99487851	predicted	4257
ENST00000512645	RP11-364P22.3	884	944.9969	chr4	-	158739252	158739724	Ensembl	472
AK022892		884	944.9969	chr22	-	50282090	50285067	RNAdb	2976
NR_002207	CSNK2A1P	884	944.9969	chr11	-	11373322	11374904	RefSeq_NR	1584
uc003jnb.1	AK056817	884	944.9969	chr5	-	42985502	42993435	UCSC_kg	2757
NR_024180	SLC2A5	883	943.9279	chr1	-	9097006	9148510	RefSeq_NR	2330
AK055989		883	943.9279	chr15	-	82108948	82110962	predicted	2012
uc001wqc.2	BX538073	883	943.9279	chr14	+	28081793	28108834	UCSC_kg	3527
ENST00000510466	AL136307.1	883	943.9279	chr6	+	5892672	5986353	Ensembl	1357
ENST00000483820	RP11-132J14.1	883	943.9279	chr14	+	56010118	56010887	Ensembl	769
NR_026943	LOC642852	883	943.9279	chr21	+	46707966	46717268	RefSeq_NR	7181
ENST00000427504	AC090952.4	883	943.9279	chr3	-	14614358	14616299	Ensembl	1941
AK125509		882	942.8589	chr20	-	5205000	5206121	predicted	3481
BC109041		882	942.8589	chr6	+	40359512	40555046	predicted	2924
NR_033425	TSLP	882	942.8589	chr5	+	110409011	110413722	RefSeq_NR	2411
ENST00000422168	RP11-552J9.1	882	942.8589	chrX	+	52613038	52615362	Ensembl	306
DQ656008		882	942.8589	chr11	+	5142384	5145742	predicted	1013
ENST00000411668	AC007562.2	882	942.8589	chrY	-	27710268	27712180	Ensembl	1613
AY166699		881	941.7899	chr7	-	155149682	155160629	predicted	2476
NR_026695	FGF1	880	940.7209	chr5	-	141971743	142077635	RefSeq_NR	4072
ENST00000426112	RP3-439F8.1	880	940.7209	chr22	+	46937391	46944093	Ensembl	2949
ENST00000502540	RP11-1334A24.5	880	940.7209	chr5	-	176903631	176906657	Ensembl	3026
AK095723		880	940.7209	chr18	-	903144	906668	predicted	3524
ENST00000429799	AC006987.1	879	939.6519	chrY	-	9860097	9871796	Ensembl	1147
ENST00000395835	RP11-213G2.4	878	938.5829	chr9	+	88513818	88514636	Ensembl	816
NR_024170	MAPKSP1	878	938.5829	chr4	-	100799494	100815703	RefSeq_NR	4234
U66048		878	938.5829	chrX	+	149128983	149131935	NRED	2959
NR_024096	C14orf70	878	938.5829	chr14	+	101123604	101139081	RefSeq_NR	1627
NR_003601	ANTXRL	878	938.5829	chr10	+	47658233	47701446	RefSeq_NR	2129
NR_002166	TRAPPC2P1	878	938.5829	chr19	+	57874878	57876721	RefSeq_NR	755
BC047912		877	937.5139	chr10	-	119026629	119027472	RNAdb	932
BC040995		877	937.5139	chr8	-	5363590	5366648	predicted	3074
ENST00000416851	BMS1P1	877	937.5139	chr10	-	46744224	46762776	Ensembl	7989
AK022441		877	937.5139	chr15	+	71595109	71598646	NRED	3537
NR_027716	H2AFJ	877	937.5139	chr12	+	14927269	14930934	RefSeq_NR	3385
BC032141		877	937.5139	chr3	+	187662729	187665455	predicted	2742
NR_002774	HTR7P1	877	937.5139	chr12	+	13153375	13157762	RefSeq_NR	4389
ENST00000513405	AP001999.1	876	936.4449	chr11	+	134605489	134633704	Ensembl	3684
uc003vxd.2	LOC730441	876	936.4449	chr7	-	141968101	141972068	UCSC_kg	2054
ENST00000500585	AC092636.1	876	936.4449	chr2	+	97584842	97591573	Ensembl	2259
uc002ybr.1	AK025855	876	936.4449	chr20	+	60513179	60515672	UCSC_kg	2493
NR_033184	ZNF678	875	935.37589	chr1	+	227751219	227850163	RefSeq_NR	8593
uc002tck.1	AK096498	875	935.37589	chr2	-	105421976	105467916	UCSC_kg	2762
uc002cqx.2	LOC652276	875	935.37589	chr16	+	2653384	2667130	UCSC_kg	4105
BX649173		874	934.30689	chr8	-	118715958	118721616	predicted	5673
ENST00000437488	RP11-385J1.2	874	934.30689	chr3	-	178244292	178578140	Ensembl	964
BC043200		874	934.30689	chr9	+	32809912	32812002	predicted	2112
AX810723		874	934.30689	chrX	+	109917083	110035356	predicted	2315
ENST00000431637	NCRNA00210	874	934.30689	chr1	+	218066242	218094146	Ensembl	1586
uc003gxr.1	BC041434	874	934.30689	chr4	+	47916243	47992754	UCSC_kg	1666
AB007969		873	933.23789	chr14	-	95648275	95654852	NRED	6577
BC040573		873	933.23789	chr4	+	131819952	131823017	predicted	3081
uc002fmz.1	AX747440	873	933.23789	chr16	+	89334511	89339452	UCSC_kg	3660
AK128168		872	932.16889	chr4	+	141419555	141422484	predicted	2925
uc001vfo.1	D28359	872	932.16889	chr13	+	52033095	52035515	UCSC_kg	2420
ENST00000373465	RP11-75A9.1	872	932.16889	chrX	-	46277884	46279514	Ensembl	1630
AK096500		872	932.16889	chr14	+	71276913	71280446	predicted	3530
AK098813		872	932.16889	chr19	+	53998325	53999151	NRED	1656
ENST00000455366	AC125421.1	871	931.09989	chr17	+	71782960	71796932	Ensembl	2472
ENST00000501095	AC009118.2	871	931.09989	chr16	-	58535152	58547522	Ensembl	3196
ENST00000444188	XXyac-YX65C7_A.2	871	931.09989	chr6	+	169613348	169639660	Ensembl	980
AK130682		871	931.09989	chr22	+	37967920	37977411	predicted	2864
AF086437		871	931.09989	chr10	-	31477801	31478223	predicted	432
NR_026886	LRTOMT	871	931.09989	chr11	+	71791692	71807936	RefSeq_NR	2512
ENST00000445280	RP11-165J3.6	871	931.09989	chr9	-	96197613	96199403	Ensembl	691
ENST00000451485	RP11-24F11.2	871	931.09989	chr3	-	46406445	46448550	Ensembl	656
ENST00000422216	RP1-18D14.7	870	930.03089	chr1	+	47691468	47696422	Ensembl	4036
NR_028288	TCL6	870	930.03089	chr14	+	96117514	96139789	RefSeq_NR	3307
uc001stv.1	AK124066	870	930.03089	chr12	+	68383224	68415107	UCSC_kg	1791
uc002trf.1	AK054990	870	930.03089	chr2	-	131174327	131185559	UCSC_kg	2070
AK091230		870	930.03089	chr14	+	30839313	30842321	predicted	3007
uc010ssu.1	BC043551	870	930.03089	chr12	-	65938018	65951091	UCSC_kg	724
NR_026767	C3orf66	870	930.03089	chr3	+	108897011	108904107	RefSeq_NR	2524
ENST00000420523	AL450106.1	870	930.03089	chr9	+	88742454	88771985	Ensembl	2440
NR_033302	DHX9	869	928.96189	chr1	+	182808438	182857115	RefSeq_NR	4680
CR591436		869	928.96189	chrX	-	54954462	54956380	predicted	1918
ENST00000405943	RP4-765F13.3	869	928.96189	chrX	+	130780646	130780899	Ensembl	253
uc003kky.2	CR614705	869	928.96189	chr5	+	94124493	94129303	UCSC_kg	1939
AF090889		869	928.96189	chr13	+	74374210	74376340	predicted	2130
AK093347		868	927.89289	chr3	-	52415308	52417213	predicted	1905
NR_015341	LRRC37B2	868	927.89289	chr17	+	28903482	28964484	RefSeq_NR	4607
ENST00000513278	AL451065.1	868	927.89289	chr9	-	95770396	95777226	Ensembl	3645
AK056289		868	927.89289	chr7	+	67512956	67549241	predicted	1999
AK096384		868	927.89289	chr1	-	2567790	2571151	predicted	3361
uc003igh.1	AK093416	868	927.89289	chr4	+	129349224	129440549	UCSC_kg	2012
ENST00000510581	AC138645.1	868	927.89289	chr17	-	44627758	44628278	Ensembl	428
BC020585		867	926.82389	chr21	+	47019737	47022969	predicted	3247
ENST00000405179	RP1-236J16.1	866	925.75489	chr6	+	113543367	113544423	Ensembl	735
AK097323		866	925.75489	chr14	-	64907088	64908956	RNAdb	1868
BX640843		866	925.75489	chr3	+	185694643	185698663	NRED	4062
HIT000049806		866	925.75489	chr10	+	29783527	29785652	HinvDB	2121
ENST00000409819	AC079354.3	866	925.75489	chr2	-	202978348	202981781	Ensembl	3093
ENST00000416709	RP11-503C24.5	866	925.75489	chr6	-	168687584	168690030	Ensembl	2446
ENST00000500011	AC022400.3	866	925.75489	chr10	-	75545334	75547998	Ensembl	2272
uc002rfv.2	CR933670	866	925.75489	chr2	+	25194995	25262561	UCSC_kg	4657
ENST00000447848	RP11-394G3.2	865	924.68588	chr6	-	136128285	136129604	Ensembl	777
AK095895		865	924.68588	chr4	-	187110185	187112644	predicted	2441
AK057962		865	924.68588	chr21	+	44851116	44853097	predicted	1981
AK128441		865	924.68588	chr10	+	124949872	124952689	predicted	2817
HIT000090965		865	924.68588	chr3	-	195661389	195664588	HinvDB	3201
NR_033357	PRCD	865	924.68588	chr17	+	74523667	74541458	RefSeq_NR	2081
NR_026670	LOC116437	864	923.61688	chr12	+	131649555	131697475	RefSeq_NR	2505
BC028406		864	923.61688	chr1	+	246935602	246939072	predicted	3478
AL136837		864	923.61688	chr7	+	65305041	65307382	NRED	2353
AK026877		864	923.61688	chr2	-	181891254	181892811	predicted	1573
uc002wnn.1	AK124961	864	923.61688	chr20	-	10004459	10200151	UCSC_kg	2956
AK127122		864	923.61688	chr6	+	88881979	88885481	predicted	3500
ENST00000312652	AC067721.2	864	923.61688	chr3	+	155736546	155755475	Ensembl	2268
ENST00000409590	AC007131.1	864	923.61688	chr2	+	59444842	59506535	Ensembl	2036
uc001hog.1	AK124970	864	923.61688	chr1	+	224189608	224197818	UCSC_kg	2669
ENST00000455685	AC111186.1	863	922.54788	chr17	+	73070400	73075644	Ensembl	2848
NR_003148	LOC147804	863	922.54788	chr19	+	53935240	53947924	RefSeq_NR	2939
ENST00000416595	RP3-425P12.1	863	922.54788	chr6	-	25053854	25057301	Ensembl	430
NR_029374	LOC641518	862	921.47888	chr4	+	109088680	109097585	RefSeq_NR	1065
uc004dfa.1	AK056524	862	921.47888	chrX	-	40671202	40704710	UCSC_kg	2687
ENST00000455038	RP11-335E6.2	862	921.47888	chr1	+	63604920	63628824	Ensembl	823
ENST00000379752	RP11-110J1.2	862	921.47888	chr1	-	157029022	157030554	Ensembl	1532
ENST00000407347	RP11-528A10.1	861	920.40988	chr6	-	18366969	18368874	Ensembl	1596
ENST00000364291	AL354947.1	861	920.40988	chr13	+	110567442	110567767	Ensembl	325
BX648653		861	920.40988	chr7	-	131178722	131183518	RNAdb	3791
BC057386		861	920.40988	chr11	-	115602664	115605460	predicted	2831
NR_030724	XPNPEP1	861	920.40988	chr10	-	111624523	111683311	RefSeq_NR	2386
AK023838		860	919.34088	chr2	+	135191252	135197295	NRED	6045
CR616314		860	919.34088	chr10	-	102727949	102729353	predicted	1404
AK057262		860	919.34088	chr15	+	31380518	31382260	predicted	1743
ENST00000499294	AL136527.1	860	919.34088	chr13	-	42876242	42884992	Ensembl	2412
ENST00000513338	AC138517.4	860	919.34088	chr5	+	138873840	138875701	Ensembl	1861
uc003nak.1	AX747210	860	919.34088	chr6	-	13279526	13295818	UCSC_kg	2305
ENST00000504009	RP11-402J6.1	860	919.34088	chr4	+	113436586	113468037	Ensembl	477
ENST00000423971	AC105935.1	860	919.34088	chr3	-	49910779	49915413	Ensembl	4634
ENST00000416182	AF241725.6	859	918.27188	chr21	-	23027358	23058649	Ensembl	480
ENST00000421023	RPL24P2	859	918.27188	chr20	+	21095363	21095838	Ensembl	475
AK125577		859	918.27188	chr7	+	6697867	6699791	predicted	1924
DQ304541		858	917.20288	chr14	-	99383238	99384138	predicted	900
ENST00000439285	AC007001.4	858	917.20288	chr7	+	20181538	20193154	Ensembl	639
uc003kni.2	CR594287	858	917.20288	chr5	-	99785458	99870890	UCSC_kg	1568
uc002ioy.1	AK097622	857	916.13388	chr17	-	47535222	47539111	UCSC_kg	1754
uc003kit.2	BC034940	857	916.13388	chr5	+	86415964	86543833	UCSC_kg	1469
D16477		857	916.13388	chrX	-	124592833	124595812	predicted	2978
BC029571		856	915.06488	chr6	-	27356046	27357004	predicted	975
ENST00000436135	RP11-144L1.8	856	915.06488	chr1	+	158493461	158495628	Ensembl	2167
ENST00000498979	AP003395.1	856	915.06488	chr11	+	119252534	119371306	Ensembl	2471
NR_027303	TRIB2	856	915.06488	chr2	+	12856997	12882856	RefSeq_NR	2855
uc003tig.1	BC020168	856	915.06488	chr7	-	43548326	43562141	UCSC_kg	2916
ENST00000502188	AL157938.2	856	915.06488	chr9	-	134065296	134069592	Ensembl	3084
HIT000022845		856	915.06488	chr17	-	80532853	80535038	HinvDB	2186
uc002ale.1	AK125516	856	915.06488	chr15	-	63124322	63127596	UCSC_kg	2978
ENST00000429293	RP5-997D16.2	856	915.06488	chr1	+	35316294	35317156	Ensembl	720
ENST00000436340	RP11-195B3.1	855	913.99587	chr10	+	3308194	3309207	Ensembl	463
X51779		855	913.99587	chr5	+	29979775	29983219	predicted	3444
AL117601		855	913.99587	chr17	-	42751058	42753625	RNAdb	2586
ENST00000437330	AC103564.7	854	912.92687	chr2	-	132587373	132589604	Ensembl	562
ENST00000502842	AL358334.2	854	912.92687	chr14	-	51422976	51428720	Ensembl	4714
AK125939		854	912.92687	chr5	+	81565519	81572664	predicted	3744
AK024213		854	912.92687	chr5	+	139923854	139926260	NRED	2406
uc011abu.1	BC071797	854	912.92687	chr21	+	9711934	9769223	UCSC_kg	1198
ENST00000499787	AL031670.1	854	912.92687	chr20	-	3907962	3911562	Ensembl	2316
ENST00000504829	CTC-441N14.2	854	912.92687	chr5	-	121464456	121490551	Ensembl	731
ENST00000422953	RP11-39K24.9	854	912.92687	chr9	-	5084998	5086112	Ensembl	1114
AK124871		854	912.92687	chr2	-	242428942	242432702	RNAdb	3751
ENST00000500463	AL138478.1	854	912.92687	chr14	+	89622525	89627743	Ensembl	3509
BC036933		854	912.92687	chr5	-	177431776	177434059	predicted	2356
ENST00000506095	RP11-642E20.5	853	911.85787	chr4	-	69151528	69151638	Ensembl	110
uc010box.2	DJ031154	853	911.85787	chr15	+	100348034	100379278	UCSC_kg	950
ENST00000435169	RP3-370M22.6	853	911.85787	chr22	+	40271292	40272112	Ensembl	820
BC033908		853	911.85787	chr11	-	114231356	114250761	predicted	3868
NR_027760	CSF2RA	853	911.85787	chrY	+	1337692	1378828	RefSeq_NR	1719
uc003vqn.3	AK095549	853	911.85787	chr7	-	130565751	130598069	UCSC_kg	2227
ENST00000416133	RP11-81C12.1	853	911.85787	chrX	+	136742677	136744401	Ensembl	1724
ENST00000434035	AC007679.4	853	911.85787	chr2	+	206905155	206905569	Ensembl	414
uc001rjo.1	BC072678	853	911.85787	chr12	+	30948864	30955645	UCSC_kg	1645
ENST00000454868	AC007379.10	852	910.78887	chrY	+	20987992	20991373	Ensembl	628
ENST00000511612	AC008834.2	852	910.78887	chr5	+	97361668	97361843	Ensembl	175
BC035180		852	910.78887	chr2	-	64749323	64751227	predicted	1919
ENST00000441193	AC009263.2	852	910.78887	chr7	+	137707203	137709085	Ensembl	1239
uc001dgv.2	CR936677	852	910.78887	chr1	-	76103851	76188721	UCSC_kg	3347
ENST00000509020	RP11-177C12.1	851	909.71987	chr4	+	37869803	37871589	Ensembl	1157
AK125200		851	909.71987	chr14	+	77607025	77609339	predicted	2315
NR_027390	GRINL1A	851	909.71987	chr15	+	57998900	58009752	RefSeq_NR	4329
ENST00000460237	RP11-143J12.1	851	909.71987	chr18	+	9020018	9020765	Ensembl	747
AK024147		851	909.71987	chr11	+	66960627	66962840	NRED	2620
AY064415		851	909.71987	chr14	+	37088470	37091883	predicted	3432
ENST00000357401	AP001597.1	850	908.65087	chr21	+	27778261	27941571	Ensembl	3412
ENST00000428191	AC010746.2	850	908.65087	chr2	-	198115581	198167243	Ensembl	1069
ENST00000433071	AP000251.2	850	908.65087	chr21	+	32931536	32932800	Ensembl	843
AK125349		850	908.65087	chr3	+	5261746	5265048	predicted	3307
AK057895		850	908.65087	chr4	-	148151227	148153742	predicted	2515
AK092783		850	908.65087	chr10	-	43248352	43250651	predicted	2299
ENST00000508813	RP11-752D24.2	849	907.58187	chr4	+	53811855	53824254	Ensembl	2465
ENST00000508288	AC117517.1	849	907.58187	chrX	-	23093707	23096495	Ensembl	2459
uc003esv.1	AK128202	849	907.58187	chr3	-	138654030	138662862	UCSC_kg	3538
AK126027		848	906.51287	chr1	-	32663438	32667491	predicted	4054
ENST00000315936	OR4K3P	848	906.51287	chr14	-	20336355	20337302	Ensembl	945
ENST00000508759	POU5F1P7	848	906.51287	chr3	+	97837615	97838573	Ensembl	958
AK095773		848	906.51287	chr3	-	182655947	182658477	predicted	2533
ENST00000499949	AC022916.2	848	906.51287	chr17	-	33558468	33569346	Ensembl	2022
AB007978		848	906.51287	chr1	-	33466162	33471784	NRED	5641
BC036799		848	906.51287	chr9	-	132242883	132244817	predicted	2035
uc002rae.1	UNQ5830	848	906.51287	chr2	-	10143285	10146158	UCSC_kg	2412
ENST00000299783	AC002543.2	847	905.44387	chr7	-	116513507	116516430	Ensembl	1954
AL096734		847	905.44387	chr1	+	156691686	156695659	NRED	3180
ENST00000412133	AC012499.1	847	905.44387	chr2	+	178563156	178588017	Ensembl	741
AK091300		847	905.44387	chr1	-	68584895	68587734	RNAdb	2840
ENST00000500111	AL158032.2	847	905.44387	chr13	-	21872479	21876009	Ensembl	3405
ENST00000504812	RP11-109B6.2	847	905.44387	chr5	-	60039389	60040797	Ensembl	1408
BX537715		847	905.44387	chr4	-	140369605	140373926	predicted	4337
ENST00000449346	AC013264.2	847	905.44387	chr2	+	198062714	198063997	Ensembl	455
uc003ggi.1	C4orf10	846	904.37487	chr4	+	2938992	2963465	UCSC_kg	1616
AK125541		846	904.37487	chr15	-	39573664	39576274	predicted	2610
NR_027046	LOC145474	846	904.37487	chr14	+	71954577	71956418	RefSeq_NR	1859
NR_026686	PDIK1L	846	904.37487	chr1	+	26438267	26452024	RefSeq_NR	4361
ENST00000501400	AC011118.2	845	903.30586	chr8	-	94358694	94712661	Ensembl	1914
BC034596		845	903.30586	chr6	+	148551187	148554353	predicted	3184
uc003lyl.3	DQ658414	845	903.30586	chr5	+	159895244	159914431	UCSC_kg	2329
ENST00000436933	RP4-675G8.3	844	902.23686	chr1	-	44603513	44617455	Ensembl	756
AK057309		844	902.23686	chr14	+	94362107	94364105	predicted	2027
BX648212		844	902.23686	chr7	-	102910662	102921423	NRED	3865
uc010iom.1	AK307172	844	902.23686	chr4	-	144434624	144435760	UCSC_kg	917
ENST00000420248	U07000.5	844	902.23686	chr22	-	23522105	23522383	Ensembl	273
ENST00000431287	RP11-551G24.3	844	902.23686	chr1	+	247178369	247180593	Ensembl	1256
AK094548		844	902.23686	chr1	+	224219240	224221571	predicted	2275
ENST00000429033	UBE3AP2	843	901.16786	chr21	-	32432918	32435487	Ensembl	2259
NR_027128	C21orf67	843	901.16786	chr21	-	46353199	46359828	RefSeq_NR	1850
BC020376		843	901.16786	chr17	+	73823306	73827383	predicted	1569
CR605514		843	901.16786	chr9	+	117073276	117074747	predicted	1471
uc003qsc.2	CR618966	843	901.16786	chr6	+	159463302	159469733	UCSC_kg	1066
NR_027700	NOP56	843	901.16786	chr20	+	2633253	2639038	RefSeq_NR	2169
ENST00000392268	AC008507.1	843	901.16786	chr19	+	30528329	30529091	Ensembl	756
AF111850		842	900.09886	chr7	+	139296707	139299337	predicted	2659
ENST00000392115	RP3-431P23.2	842	900.09886	chr6	-	168167762	168169248	Ensembl	1486
AK126393		842	900.09886	chr3	-	112316367	112319222	predicted	2855
AK125087		842	900.09886	chr17	+	47686263	47690636	predicted	4382
ENST00000510713	CTC-555I19.1	842	900.09886	chr5	-	115310261	115311972	Ensembl	1711
NR_024203	ECD	842	900.09886	chr10	-	74894282	74927853	RefSeq_NR	1869
NR_002710	ALOX12P2	841	899.02986	chr17	+	6756894	6803667	RefSeq_NR	2768
uc003pwf.2	BC042098	841	899.02986	chr6	+	114290864	114661893	UCSC_kg	2007
uc003qeg.1	BC041459	841	899.02986	chr6	-	133823389	134210120	UCSC_kg	2960
ENST00000455465	RP11-236B18.3	841	899.02986	chr10	-	92720832	92757505	Ensembl	363
ENST00000297027	AC010990.1	840	897.96086	chr7	+	27154966	27162503	Ensembl	1962
AK094529		840	897.96086	chr15	-	56686504	56688983	predicted	2480
NR_026900	FLJ23867	840	897.96086	chr1	+	180167143	180169857	RefSeq_NR	2717
ENST00000406314	RP11-40G16.1	840	897.96086	chr6	-	92525560	92526146	Ensembl	586
AK123881		839	896.89186	chr14	+	99986200	99988847	predicted	2498
ENST00000360083	AC079610.2	839	896.89186	chr2	-	214141275	214148929	Ensembl	1727
ENST00000513484	RP11-639F1.1	839	896.89186	chr3	-	155093471	155093579	Ensembl	108
ENST00000394796	AC007225.1	839	896.89186	chr16	-	46876539	46878532	Ensembl	1029
ENST00000502175	AL929101.1	838	895.82286	chrX	-	51486515	51489023	Ensembl	2415
AK027383		838	895.82286	chr8	+	144840685	144842682	predicted	1997
ENST00000510649	AC233723.1	838	895.82286	chr17	-	4690351	4694029	Ensembl	2802
NR_023392	ZNF252	838	895.82286	chr8	-	146198975	146228285	RefSeq_NR	5454
ENST00000460880	AP002387.1	837	894.75386	chr11	-	71093646	71118818	Ensembl	1116
NR_026718	FOXO3B	837	894.75386	chr17	-	18569235	18576494	RefSeq_NR	7259
uc003dgd.2	DQ582230	837	894.75386	chr3	-	52872019	52873766	UCSC_kg	1747
uc004bqf.1	BC031239	837	894.75386	chr9	-	129032402	129038194	UCSC_kg	2096
NR_027862	HAT1	837	894.75386	chr2	+	172778934	172848599	RefSeq_NR	1609
AK022129		837	894.75386	chr5	-	20106034	20112566	predicted	2064
AK127812		837	894.75386	chr20	-	36476569	36478622	predicted	2055
NR_024236	LOC400804	836	893.68486	chr1	-	221503269	221509638	RefSeq_NR	4492
NR_026860	C6orf176	836	893.68486	chr6	-	166352949	166401527	RefSeq_NR	1832
BC043160		836	893.68486	chr5	-	10195298	10197734	predicted	2454
BC036355		836	893.68486	chr3	-	150125891	150127466	predicted	1596
ENST00000424698	OR5P4P	836	893.68486	chr11	+	7767536	7768453	Ensembl	917
AK124694		836	893.68486	chr20	+	5220318	5223806	predicted	3483
ENST00000443593	RP1-212P9.2	835	892.61585	chr1	+	29194086	29197779	Ensembl	1746
uc002nsc.1	AK055100	835	892.61585	chr19	+	29493461	29504862	UCSC_kg	1948
ENST00000400619	RP5-967N21.2	835	892.61585	chr20	-	5908712	5909964	Ensembl	1252
AK023852		835	892.61585	chr8	+	134079862	134082246	NRED	2380
uc001uhq.2	BC045798	835	892.61585	chr12	+	128399964	128436096	UCSC_kg	1983
ENST00000504393	RP11-1319K7.2	835	892.61585	chr5	+	69428500	69428798	Ensembl	298
AK092372		835	892.61585	chr16	-	69358506	69360926	predicted	2427
ENST00000418112	AC083867.3	835	892.61585	chr7	+	137806947	137809000	Ensembl	1514
NR_024159	DGCR9	834	891.54685	chr22	+	19005346	19007760	RefSeq_NR	2434
ENST00000433673	AC068282.3	834	891.54685	chr2	+	128146705	128158156	Ensembl	2690
ENST00000446499	RP5-1109J22.1	834	891.54685	chr1	+	46897800	46910993	Ensembl	1238
ENST00000439625	RP4-736I12.1	834	891.54685	chr1	+	96856207	96856949	Ensembl	742
ENST00000448591	RP11-101J8.2	834	891.54685	chr1	-	158236542	158237110	Ensembl	263
NR_027151	C10orf108	834	891.54685	chr10	+	695887	698588	RefSeq_NR	1943
AK125150		834	891.54685	chr10	+	49644973	49647400	predicted	2427
ENST00000434010	RPS2P1	834	891.54685	chr20	+	32710275	32711096	Ensembl	821
AK056398		833	890.47785	chr3	-	14840837	14852921	predicted	3830
AK124307		833	890.47785	chr1	-	109941663	109943691	predicted	2028
AK127848		833	890.47785	chrX	+	151264563	151267540	predicted	2974
ENST00000412218	LL22NC03-86D4.1	833	890.47785	chr22	+	34413461	34584414	Ensembl	757
AK091452		833	890.47785	chr4	-	10411476	10412738	predicted	2162
uc010mam.2	AF131817	832	889.40885	chr8	-	92968729	92970161	UCSC_kg	1432
uc010jqm.1	BC043245	832	889.40885	chr6	+	26602960	26606885	UCSC_kg	2861
AK021764		832	889.40885	chr4	-	36744892	36746724	predicted	1832
AK054782		832	889.40885	chr8	+	10300659	10302918	predicted	2261
ENST00000455305	RP1-131F15.2	832	889.40885	chr6	-	132147120	132149553	Ensembl	2433
NR_033240	LOC100129794	832	889.40885	chr14	+	37641230	37642996	RefSeq_NR	1819
ENST00000405959	RP1-101K10.4	832	889.40885	chr6	-	153280411	153280773	Ensembl	362
BC041920		831	888.33985	chr4	+	127099051	127101661	predicted	2630
ENST00000454260	AC016736.2	831	888.33985	chr2	-	120001997	120006647	Ensembl	3218
BX647714		831	888.33985	chr3	-	69066554	69068522	predicted	1988
NR_026549	RHBG	830	887.27085	chr1	+	156339002	156355009	RefSeq_NR	1928
uc002wfu.1	AK090681	830	887.27085	chr20	+	1927891	1988163	UCSC_kg	1802
uc003tsv.2	BC042811	830	887.27085	chr7	+	63361200	63378370	UCSC_kg	635
ENST00000499367	AC044907.1	830	887.27085	chr15	+	83511245	83514392	Ensembl	2618
ENST00000398728	RP11-477J21.2	830	887.27085	chr9	-	124000953	124002356	Ensembl	1386
ENST00000454746	RP11-744O11.2	829	886.20185	chr3	-	175392874	175394589	Ensembl	1715
uc004fng.2	BC042086	829	886.20185	chrX	-	154576451	154603823	UCSC_kg	1700
BC028133		829	886.20185	chr3	+	42306480	42307880	RNAdb	1536
AK023774		828	885.13285	chr1	-	25658549	25661597	NRED	3049
ENST00000438179	RP11-390B4.4	828	885.13285	chr10	+	17619360	17620211	Ensembl	851
ENST00000407947	RP1-20N4.1	828	885.13285	chr6	+	71785266	71786078	Ensembl	812
AK001840		828	885.13285	chr20	+	39609388	39612813	predicted	1691
ENST00000510254	RP11-65F13.2	828	885.13285	chr5	-	92746994	92916713	Ensembl	862
HIT000097497		828	885.13285	chr6	-	87962944	87967500	HinvDB	4557
ENST00000407744	RP11-889L3.1	828	885.13285	chr5	+	177482389	177483267	Ensembl	878
AK098143		827	884.06385	chr16	-	89281619	89284061	predicted	2442
uc001wun.2	AK125018	827	884.06385	chr14	-	39218544	39417475	UCSC_kg	4492
ENST00000420659	RP11-5P4.1	827	884.06385	chr1	-	63466167	63478142	Ensembl	445
NR_003927	UOX	827	884.06385	chr1	-	84830647	84863576	RefSeq_NR	1553
NR_033435	PHF14	827	884.06385	chr7	+	11013498	11147376	RefSeq_NR	7582
ENST00000428945	RP4-680D5.2	827	884.06385	chr1	-	15912630	15930121	Ensembl	2845
ENST00000429882	AC053503.11	827	884.06385	chr2	-	220346794	220381599	Ensembl	519
ENST00000426241	RP11-358L16.4	827	884.06385	chr10	-	46201878	46217887	Ensembl	1131
AK057539		827	884.06385	chr21	+	33735329	33737590	predicted	2261
NR_027751	FAM20A	827	884.06385	chr17	-	66531257	66554568	RefSeq_NR	3712
AK056386		827	884.06385	chr3	+	140290547	140294071	predicted	3524
BC033539		826	882.99484	chr12	+	124570307	124573135	predicted	2851
AK026750		826	882.99484	chr8	-	142363506	142365465	predicted	1984
NR_027249	LOC253724	826	882.99484	chr12	-	104237527	104323989	RefSeq_NR	4516
ENST00000452006	AC112211.3	826	882.99484	chr3	+	33118695	33118983	Ensembl	288
uc010bys.1	RUNDC2B	826	882.99484	chr16	+	29339873	29418349	UCSC_kg	5132
uc003luu.1	AK001582	826	882.99484	chr5	+	151329131	151650009	UCSC_kg	3591
NR_003954	LOC729176	825	881.92584	chr6	-	147122805	147124960	RefSeq_NR	2156
